year,JasonGross,jfehrle,ejgallego,SkySkimmer,Zimmi48,jonleivent,RalfJung,maximedenes,MSoegtropIMC,herbelin,ppedrot,samuelgruetter,andres-erbsen,silene,gares,charguer,andrew-appel,robbertkrebbers,Alizter,tchajed,fblanqui,cpitclaudel,Eelis,anton-trunov,Janno,Casteran,Blaisorblade,Matafou,tomprince,Lionel-Rieg,siegebell,xavierleroy,Ian Lynagh <igloo@earth.li>,fajb,jashug,Roland.Zumkeller@polytechnique.fr,psteckler,ybertot,Tuplanolla,gmalecha,zeldovich,roconnor,greenrd,hendriktews,davidnowak,jwiegley,mattam82,erikmd,Lysxia,amccreight,DanGrayson,letouzey,pirbo,matejkosik,ethan.aubin@gmail.com,rmatthes,mikeshulman,pi8027,eponier,CohenCyril,brianaydemir2,AUGER Cédric <cauger@lri.fr>,olaure01,vzaliva,braibant,mrhaandi,amahboubi,vbgl,Eduardo.Gimenez@trusted-logic.fr,tupelo-schneck,glondu,ckeller,jhjourdan,lionel@mamane.lu,Henk-Jan van Tuyl <hjgtuyl@chello.nl>,Ptival,ana-borges,LasseBlaauwbroek,arthuraa,jnarboux,Armael,akr,jad-hamza,fakusb,Brian Campbell <Brian.Campbell@ed.ac.uk>,Yevgeniy Makarov <emakarov@gmail.com>,roglo,forestjulien,vporton,fpottier,boulme,thery,ggonthier,PierreCorbineau,andersk,spitters,huitseeker,emakarov@lix.polytechnique.fr,whonore,bcpierce00,mlasson,kyoDralliam,proux01,vsiles,milad@cs.kun.nl,bcip,aspiwack,chdoc,treinen,damien-pous,carlos@math.unice.fr,QinshiWang,maggesi,contejea@lri.fr,Mbodin,magaud,SnarkBoojum,clarus,Adam Megacz <megacz@cs.berkeley.edu>,artagnon,gdsfh,jlottes,ghost,bmsherman,larsr,bollu,pilki,damien.doligez@inria.fr,backtracking,eluuk,yakobowski,barras,aa755,jasper@cs.kun.nl,Roger Witte <rogerwite@yahoo.co.uk>,Charlie D <coqletsgo@yahoo.com>,liyishuai,david.pichardie@irisa.fr,ezyang,andreaslyn,Jean-Marc Notin <notin@lix.polytechnique.fr>,jbapple,Andrew Kennedy <akenn@microsoft.com>,tlringer,palmskog,sacerdot@cs.unibo.it,beta-ziliani,rnrand,Chung-Kil Hur <gil.hur@gmail.com>,David M. Cooke <david.m.cooke@gmail.com>,gasche,signoles,jimyu94,kindaro,yforster,orilahav,Columbus240,cmangin,nomeata,didickman,HuStmpHrrr,kevinsullivan,Qinxiang Cao <caoqinxiang@gmail.com>,ruibaptista@live.com,akoprow,Peter LeFanu Lumsdaine <p.l.lumsdaine@gmail.com>,elazarg,Chris Dams <Chris.Spam.nl@gmail.com>,bodeveix@irit.fr,wires,wilcoxjay,Claude.Marche@lri.fr,asr,jaykru,Nuno Gaspar <nuno.gaspar@inria.fr>,wkolowski,andres-erbsen-sifive,Baptiste Jonglez <baptiste@jonglez.org>,zorun,Stéphane Lescuyer <stephane.lescuyer@lri.fr>,llelf,euisuny,Danko Ilik <danko@lix.polytechnique.fr>,lthms,francoisthire,vgbl,pierrecregut,JonasOberhauser,Scott <fidget324@gmail.com>,Mark Dickinson <dickinsm@gmail.com>,langston-barrett,SimonBoulier,dfoxfranke,virgile.prevosto@m4x.org,anoun@labri.fr,STyx <PlaSTyx@free.fr>,Jacek Chrząszcz <chrzaszcz@mimuw.edu.pl>,Georgy Dunaev <georgedunaev@gmail.com>,Paolo Herms <paolo.herms@cea.fr>,t6s,anishathalye,sielenk@gmx.de,Felipe Cerqueira <felipec@mpi-sws.org>,Kiyoshi YAMADA <kiyoshi.coquser@gmail.com>,achlipala,MackieLoeffel,QinxiangCao,Ian Johnson <ianj@ccs.neu.edu>,ewd@dai.ed.ac.uk,Zoltán S. Márk <markzoli@yahoo.com>,devriese@cs.tcd.ie,bluelightning32,Cristóbal Camarero <nakacristo@hotmail.com>,rlepigre,cryslith,seachel,dasuxullebt,paulin@lri.fr,steffahn,Jorge Luis Sacchini <Jorge-Luis.Sacchini@FireEye.com>,jeremydaw,elefthei,xiemaisi@yahoo.de,ianshil,anne-pacalet,jeremie-koenig,Clement.Renard@inria.fr,harke@cs.pdx.edu,erkkil@gmail.com,tebbi,Tanaka Akira <akr@fsij.org>,corwin-of-amber,TheoWinterhalter,David Darais <darais@seas.harvard.edu>,gasparattila,Sidi Ould Biha <Sidi.Ould_Biha@sophia.inria.fr>,(Other)
2011,,,,,,,,,,,1,,,4,,4,10,14,,,8,,,,,,,2,41,1,,2,,,,,,1,,,,,5,3,,,,,,,2,2,8,,,4,,,,,,1,,,3,,,,,,4,1,,,,1,,,,1,,,,,,,2,1,10,,,,,,2,1,2,,,,,,,2,,,1,,,4,,,,,,,,,5,,,,,,,,1,,,,,,,,,5,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,32
2012,27,,,,,,,3,,,7,,,1,2,17,4,12,,,11,,,,,1,,,1,6,2,1,11,5,,,,,,8,,,,8,,,,2,,,,1,13,,1,2,,,,,,9,,,12,,1,,,,,1,,,21,6,,,1,,,,,,,1,4,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,1,,,,2,,,5,,,,2,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,34
2013,107,,,,,,,2,,1,7,,,1,5,,8,1,,,7,,,,,,,1,,3,,5,1,,,,,1,,4,,,,5,,,,1,,,1,,,,,1,,,,1,,2,,,1,,,,,,,2,2,,,1,,,1,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,2,,,1,,,,,,,,1,,,2,,1,,,,,,1,,,1,,,,,,,,,,2,,1,,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,3,,,,3,,,39
2014,415,,,,,48,,18,2,4,13,,,3,4,,5,2,,,5,,,,1,1,,3,,,15,1,,1,,,,1,,7,17,,,,,12,1,,,,1,,2,5,,,20,,,,,,,,,,1,,,,,1,2,,,2,,,,,,,,,,,,1,1,1,,,,,2,1,,,,,,,1,,,,5,,,,,,,,,,,,,,,5,,,1,,,,,,,,1,,,,,,,,,2,1,,,,,,,4,2,,,,,,,,,1,,1,,,,2,,,,,,,1,,1,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,35
2015,172,,1,,1,38,1,22,25,3,16,,,16,7,36,1,1,,,21,,,,1,2,,12,,27,3,2,,2,,,,1,,7,10,,,,,3,,1,,,6,,,8,,,7,,5,1,,,,4,,,,,,,,,5,,,2,,,1,,,,,,1,,4,1,,4,1,1,,,5,2,,,,,1,,,,,,2,,,,,,,,,,,6,,,1,1,,,1,,,,,,,,2,,5,,,,,,,,2,,,,1,,,2,2,,,,,,,,,,,,2,,,4,1,,,,1,,2,,,,,,,,,,,,,,,,,2,,,1,,,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,39
2016,322,,20,2,4,74,18,15,10,3,16,,3,12,7,5,18,18,,5,6,5,,,4,1,,4,,7,27,2,,1,,,24,2,,3,5,,,4,,5,,2,,,9,,,15,,,,1,4,,,,,4,,,,,,,,1,3,,,,,,2,,1,,,,,,,,,3,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,6,1,,2,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,1,,5,,3,,,2,,,,2,,,,4,,1,,,,,4,,,,,,,,,,,5,,,1,1,,,,,4,,,,,4,,,,,,,,,1,,,,,,,,4,,,,,,2,,,1,,1,,,,,,62
2017,250,1,44,18,38,,28,15,,33,14,3,1,6,9,5,1,15,,39,2,2,,1,3,,,6,,3,,1,,1,3,,15,3,,,1,,,2,4,8,5,2,,,5,1,,3,,1,,,4,,,,,9,,,2,,,,,,6,,,4,,1,,,6,,,,,,,,,,1,2,1,1,5,,,,,4,,,,,,,,,,,,,,,1,1,,,,,,,2,4,,,,,,2,,,,,3,,,,,,,,,,,,,1,,,,,2,,,,,1,,,1,4,2,,,,3,,,,,,2,,,,,1,1,,,,,,,2,,,,,,3,,,,,,1,,,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,3,,1,,1,,,,62
2018,205,31,75,51,69,,44,42,41,40,24,13,61,13,32,6,10,6,,14,7,10,,47,5,,2,6,,,,,,,20,,4,2,1,1,2,1,,,2,3,8,4,11,,5,,,,,,,4,2,9,,,2,3,,,2,11,,,,2,,,,,,,4,,10,9,13,4,,,2,1,,,1,1,,1,,1,,,,1,,1,,2,,2,,2,,,,,,,,1,,,,,,,3,,1,9,,,,5,,,2,,,,2,,,,,,,4,1,,3,,,,2,,5,,2,2,,1,7,,2,,,,,,,,,,,,,,,2,,,4,,,,,,2,,,,,,5,1,3,,,,,,,,2,,,,,1,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,89
2019,104,29,45,51,37,,18,30,41,9,5,35,42,11,19,10,2,5,7,12,1,23,,15,15,,8,1,,,,2,,,15,,,3,15,3,,,,5,,,6,10,11,,2,,,,,,,8,7,3,,,3,3,,1,,11,,,,4,2,,,2,2,,2,,,5,4,3,,,2,,,,,1,3,,,,,,3,2,,3,2,,,5,,,2,1,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,1,,,8,,,,2,,,1,3,,,1,,,,2,,,,,,3,,,,,,,,,,,,,6,,1,6,,,,4,,,3,2,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,4,,,4,,1,,,,,,,,,,,3,2,,,,103
2020,179,59,22,44,29,8,31,10,24,23,15,30,8,10,20,2,7,4,6,11,1,10,,5,21,3,21,2,,1,,1,,3,5,,,,2,4,,,,3,3,1,6,4,5,,,,,,,,2,4,2,8,,,10,2,,8,1,1,,,,1,,,,1,3,13,4,,1,2,,10,,,2,,,1,,1,,,,,,,2,4,,6,4,3,,5,,9,6,,,,,,7,,,,,4,,3,3,,1,,,,,,,,1,,,,1,,,,,,,,5,,,1,,,,,,7,,4,,,,,,,,,,,,,,,1,,,,,1,,,,,1,4,,2,1,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,1,,,,,,,1,,,2,,,,,,,,1,,,3,,95
2021,117,64,8,25,16,12,18,2,5,13,16,35,13,12,10,4,4,7,32,2,,24,,2,6,3,14,4,,,,1,,3,1,,,2,11,,,,,2,,2,4,1,4,,1,,,,,,,7,1,4,,,6,,,5,,1,,,,,1,,,,7,4,2,,,1,,,,,,,2,,,1,,,,,,,4,,,2,2,,,,,1,,,,3,,,3,,5,,,,,,,,2,,,,,,,,1,,,,3,,,,,,,,,,,1,,,,,,,2,,7,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,2,,,,,,,,,,3,,2,,,,,,,,,,,1,,66
2022,41,42,4,19,2,,3,,10,4,5,18,1,4,3,,4,1,45,1,,,,,5,,9,,,,,2,,,,,,1,10,,,,,1,,,1,,2,,,,,,,,,4,2,1,,,4,,,10,,,,,,1,,,,,7,1,1,,,,,,,,,,,,,1,,1,,,,,4,,,,2,,,,,,,,,8,,,,,5,,,6,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,1,,,,31
